district,name,location,taluk,village,status,contacts,facilities_available,total_people,total_males,total_females,total_infants,food_req,clothing_req,sanitary_req,medical_req,other_req
ekm,ദേവി വിലാസം യു.പി സ്കൂള്‍,"ദേവി വിലാസം യു.പി സ്കൂള്‍, വെളിയത്താംപറമ്പ്, നായരമ്പലം പി.ഒ, 682509",കൊച്ചി,നായരമ്പലം,active,,എല്ലാവിധ അടിസ്ഥാന സൌകര്യങ്ങളും ലഭ്യമാക്കിയിട്ടുണ്ട്,,,,,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,
ptm,GLPS Mepral,GLPS Mepral,Thiruvalla,Peringara,active,,,100,40,30,30,,,,,
ptm,St.Johns Mepral,St.Johns Mepral,Thiruvalla,Peringara,active,,,433,200,190,43,,,,,
ekm,"St. Francis L P School , Puliyanam","St. Francis L P School , Puliyanam",Aluva,Parakkadavu,active,,,,,,,,,,,
ptm,Nambrammasseril Building,Nambrammasseril Building,Thiruvalla,Peringara,active,,,120,30,69,21,,,,,
ptm,U P Smaraka Library,U P Smaraka Library,Thiruvalla,Peringara,active,,,82,22,30,30,,,,,
ptm,Vilangiyoor Parambil Peringara,Vilangiyoor Parambil Peringara,Thiruvalla,Peringara,active,,,80,20,30,30,,,,,
ptm,NSS Karayogam Peringara,NSS Karayogam Peringara,Thiruvalla,Peringara,active,,,100,20,30,50,,,,,
ptm,Karakkal Mattackal,Karakkal Mattackal,Thiruvalla,Peringara,active,,,90,20,10,60,,,,,
ekm,മഹാവിഷ്ണു കമ്മ്യൂണിറ്റി ഹാള്‍,"മഹാവിഷ്ണു കമ്മ്യൂണിറ്റി ഹാള്‍, വെളിയത്താംപറമ്പ്, നായരമ്പലം പി.ഒ, പിന്‍  682509",കൊച്ചി,നായരമ്പലം,closed,,എല്ലാവിധ അടിസ്ഥാന സൌകര്യങ്ങളും ലഭ്യമാക്കിയിട്ടുണ്ട്,,,,,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,
ptm,SNDP HSS Peringara,SNDP HSS Peringara,Thiruvalla,Peringara,active,,,216,70,100,46,,,,,
ptm,Govt.GHSS Peringara,Govt.GHSS Peringara,Thiruvalla,Kuttapuzha,active,,,300,100,102,98,,,,,
ptm,PMVHSS Peringara,PMVHSS Peringara,Thiruvalla,Peringara,active,,,433,100,200,133,,,,,
ekm,Govt. Higher Secondary School Puliyanam,"Govt. Higher Secondary School Puliyanam , Puliyanam P.O , 683572",Aluva,Parakkadavu,active,,,,,,,,,,,
tcr,ADS thozhil parisselana kendram,"ADS thozhil parisselana kendram,Parakkad",Thalapilly,Venganellur,active,"Sujitha,Mob:9745268055",,47,18,29,,,,,,
ekm,മാനാട്ട്പറമ്പ് പള്ളി ഹാള്‍,"മാനാട്ട്പറമ്പ് പള്ളി ഹാള്‍, മാനാട്ട്പറമ്പ് , നായരമ്പലം പി.ഒ, പിന്‍ : 682509, വൈപ്പിന്‍, എറണാകുളം",കൊച്ചി,നായരമ്പലം,closed,,എല്ലാവിധ അടിസ്ഥാന സൌകര്യങ്ങളും ഉണ്ടായിരുന്നു,,,,,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,
tcr,Community hall,Perinjanam,Kodungaloor,Perinjanam,active,9746254574,,288,87,96,105,,,,,
alp,nss Elanjimel,,Chengannoor,Puliyoor,active,,,420,,,,,,,,
alp,"SNDP, Elanjimel",,Chengannoor,Puliyoor,active,,,225,,,,,,,,
tcr,ALPS kaliyaroad,ALPS kaliyaroad,Thalapilly,Pangarappilly,active,"K A balkeesa,Mob:8086236747",,191,101,90,,,,,,
tcr,East U P School,Perinjanam,Kodungaloor,Perinjanam,active,9447673531,,848,228,376,244,,,,,
